Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,"Dr. B. C. Roy Engineering College, Durgapur",,,,,
,,Department of CSE,,,,
,B.TECH 4TH SEMESTER ONLINE CLASS ROUTINE 2021,,,,,
,,,,,,
,DAY,SECTION,10:30-11:30,12:00-1:00,2:00-3:00,3:30-4:30
,TUE,CSE1,ALGORITHM ANALYSIS PCC-CS404 (BD),"DISCRETE MATH
PCC-CS401
(AD)
",AUTOMATA THEORY PCC-CS403 (KH),COMP. ARCHI. LAB PCC-CS492 (RKS+JP)
,,CSE2,"DISCRETE MATH
PCC-CS401
(AD)
",ENVIRONMENTAL SCIENCE MC401 (AG),AUTOMATA THEORY PCC-CS403 (KH),COMP. ARCHI. LAB PCC-CS492 (AKS+MC)
,WED,CSE1,"DISCRETE MATH
PCC-CS401
(AD)
",COMP. ARCHI. PCC-CS402 (RKS),BIOLOGY BSC401 (DC),ALGORITHMS LAB PCC-CS494 (BD+SZH)
,,CSE2,ALGORITHM ANALYSIS PCC-CS404 (RM),COMP. ARCHI. PCC-CS402 (AKS),BIOLOGY BSC401 (DC),ALGORITHMS LAB PCC-CS494 (RM+SS)
,THU,CSE1,ENVIRONMENTAL SCIENCE MC401 (SRD),"DISCRETE MATH
PCC-CS401
(SBM)
",ALGORITHM ANALYSIS PCC-CS404 (BD),AUTOMATA THEORY PCC-CS403 (KH)
,,CSE2,COMP. ARCHI. PCC-CS402 (AKS),"DISCRETE MATH
PCC-CS401
(AD)
",ALGORITHM ANALYSIS PCC-CS404 (RM),AUTOMATA THEORY PCC-CS403 (KH)
,FRI,CSE1,COMP. ARCHI. PCC-CS402 (RKS),ALGORITHM ANALYSIS PCC-CS404 (BD),AUTOMATA THEORY PCC-CS403 (KH),BIOLOGY BSC401 (DC)
,,CSE2,"DISCRETE MATH
PCC-CS401
(SBM)
",ALGORITHM ANALYSIS PCC-CS404 (RM),AUTOMATA THEORY PCC-CS403 (KH),BIOLOGY BSC401 (DC)
,SAT,CSE1,COMP. ARCHI. PCC-CS402 (AKS),"DISCRETE MATH
PCC-CS401
(SBM)
",BIOLOGY BSC401 (DC),
,,CSE2,"DISCRETE MATH
PCC-CS401
(SBM)
",COMP. ARCHI. PCC-CS402 (RKS),BIOLOGY BSC401 (DC),
